instrument_name,creation_timestamp,expiration_timestamp,strike,option_type,kind,contract_size,settlement_period
BTC-1JAN22-38000-C,1640851260000,1641024000000,38000.0,call,option,1.0,day
BTC-1JAN22-38000-P,1640851260000,1641024000000,38000.0,put,option,1.0,day
BTC-1JAN22-40000-C,1640851260000,1641024000000,40000.0,call,option,1.0,day
BTC-1JAN22-40000-P,1640851260000,1641024000000,40000.0,put,option,1.0,day
BTC-1JAN22-41000-C,1640851260000,1641024000000,41000.0,call,option,1.0,day
BTC-1JAN22-41000-P,1640851260000,1641024000000,41000.0,put,option,1.0,day
BTC-1JAN22-42000-C,1640851260000,1641024000000,42000.0,call,option,1.0,day
BTC-1JAN22-42000-P,1640851260000,1641024000000,42000.0,put,option,1.0,day
BTC-1JAN22-43000-C,1640851260000,1641024000000,43000.0,call,option,1.0,day
BTC-1JAN22-43000-P,1640851260000,1641024000000,43000.0,put,option,1.0,day
BTC-1JAN22-44000-C,1640851260000,1641024000000,44000.0,call,option,1.0,day
BTC-1JAN22-44000-P,1640851260000,1641024000000,44000.0,put,option,1.0,day
BTC-1JAN22-45000-C,1640851260000,1641024000000,45000.0,call,option,1.0,day
BTC-1JAN22-45000-P,1640851260000,1641024000000,45000.0,put,option,1.0,day
BTC-1JAN22-46000-C,1640851260000,1641024000000,46000.0,call,option,1.0,day
BTC-1JAN22-46000-P,1640851260000,1641024000000,46000.0,put,option,1.0,day
BTC-1JAN22-47000-C,1640851260000,1641024000000,47000.0,call,option,1.0,day
BTC-1JAN22-47000-P,1640851260000,1641024000000,47000.0,put,option,1.0,day
BTC-1JAN22-48000-C,1640851260000,1641024000000,48000.0,call,option,1.0,day
BTC-1JAN22-48000-P,1640851260000,1641024000000,48000.0,put,option,1.0,day
BTC-1JAN22-49000-C,1640851260000,1641024000000,49000.0,call,option,1.0,day
BTC-1JAN22-49000-P,1640851260000,1641024000000,49000.0,put,option,1.0,day
BTC-1JAN22-50000-C,1640851260000,1641024000000,50000.0,call,option,1.0,day
BTC-1JAN22-50000-P,1640851260000,1641024000000,50000.0,put,option,1.0,day
BTC-1JAN22-51000-C,1640851260000,1641024000000,51000.0,call,option,1.0,day
BTC-1JAN22-51000-P,1640851260000,1641024000000,51000.0,put,option,1.0,day
BTC-1JAN22-52000-C,1640851260000,1641024000000,52000.0,call,option,1.0,day
BTC-1JAN22-52000-P,1640851260000,1641024000000,52000.0,put,option,1.0,day
BTC-1JAN22-54000-C,1640851260000,1641024000000,54000.0,call,option,1.0,day
